step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,2568,8,0.0936269093178865,0.0,0.4166666666666667,0.05049223270789654,0.0,0.4657534246575342
2,6608,16,0.06693804780182593,0.0,0.38095238095238093,,,
3,15256,24,0.022804715450503023,0.0,0.55,,,
4,22944,32,0.025670769512955903,0.0,0.5507246376811594,,,
5,27624,40,0.03964566084481001,0.0,0.5205479452054794,,,
6,31344,48,0.0321820676516062,0.0,0.6190476190476191,,,
7,36408,56,0.031691104013940846,0.0,0.5555555555555556,,,
8,39552,64,0.07604366601641417,0.0,0.49572649572649574,,,
9,45768,72,0.017380510252214588,0.125,0.6268656716417911,0.026420073851815214,0.125,0.746031746031746
10,49104,80,0.03613825585221025,0.0,0.6547619047619048,,,
11,52056,88,0.037665111761957595,0.0,0.6896551724137931,,,
12,57184,96,0.018413590940988094,0.0,0.6379310344827587,,,
13,60264,104,0.022751616576640984,0.125,0.7301587301587301,,,
14,67312,112,0.015796960992624995,0.25,0.7802197802197802,,,
15,74680,120,0.014897068800292764,0.0,0.75,,,
16,76992,128,0.026995473250481558,0.125,0.8309859154929577,,,
17,80584,136,0.02185765123643631,0.0,0.8271604938271605,0.017371136406136967,0.25,0.8648648648648649
18,86160,144,0.01402986159387086,0.125,0.8611111111111112,,,
19,88792,152,0.022000879060533902,0.0,0.8275862068965517,,,
20,92832,160,0.014350216224651876,0.125,0.8556701030927835,,,
21,95784,168,0.018619303447774082,0.125,0.863013698630137,,,
22,100592,176,0.012883016401101956,0.0,0.8135593220338984,,,
23,104632,184,0.012636677964513,0.25,0.8793103448275862,,,
24,110272,192,0.0086496294950691,0.5,0.92,,,
25,113608,200,0.017122211681140365,0.625,0.9444444444444444,0.017954961956293147,0.625,0.9615384615384616
26,119824,208,0.008148909315113589,0.5,0.9295774647887324,,,
27,124248,216,0.011454016827147839,0.25,0.8767123287671232,,,
28,127648,224,0.01403067065916869,0.25,0.8571428571428571,,,
29,129832,232,0.016274204095871686,0.375,0.9122807017543859,,,
30,133744,240,0.012704138439288241,0.375,0.9156626506024096,,,
31,136504,248,0.014581294405770296,0.25,0.9176470588235294,,,
32,140288,256,0.012133833330883664,0.25,0.8928571428571429,,,
33,145544,264,0.007573153656557283,0.5,0.9436619718309859,0.009064857539145422,0.375,0.9397590361445783
34,148304,272,0.015070885372882524,0.25,0.9041095890410958,,,
35,152024,280,0.013508026268235355,0.125,0.8524590163934426,,,
36,156128,288,0.011471433633170675,0.0,0.90625,,,
37,158312,296,0.018204320645594414,0.125,0.9036144578313253,,,
38,161008,304,0.016927259690792125,0.125,0.8571428571428571,,,
39,164728,312,0.014280487217588764,0.375,0.9052631578947369,,,
40,169280,320,0.013285771379730915,0.125,0.8611111111111112,,,
41,172360,328,0.015282944726433795,0.25,0.8918918918918919,0.009049018347695137,0.5,0.9305555555555556
42,175696,336,0.01350543172221465,0.125,0.8783783783783784,,,
43,181336,344,0.009098866716737104,0.125,0.9058823529411765,,,
44,186400,352,0.009226020028843067,0.25,0.93,,,
45,190440,360,0.010634750467973067,0.125,0.8852459016393442,,,
46,193968,368,0.010553398820312683,0.25,0.926829268292683,,,
47,197240,376,0.013686073988280723,0.0,0.9069767441860465,,,
48,199360,384,0.014704665072547852,0.5,0.948051948051948,,,
49,202888,392,0.016251498450632566,0.25,0.8875,0.00557325575771566,0.0,0.8695652173913043
50,206224,400,0.016234287485450638,0.125,0.8641975308641975,,,
51,208792,408,0.019370614058513643,0.125,0.84375,,,
52,217248,416,0.005700145959811711,0.25,0.8947368421052632,,,
53,220200,424,0.013447559717972334,0.25,0.8688524590163934,,,
54,223280,432,0.012904001220151855,0.125,0.8953488372093024,,,
55,229112,440,0.009055634781803993,0.125,0.868421052631579,,,
56,231936,448,0.013983211958747506,0.125,0.8831168831168831,,,
57,234056,456,0.016661545764831732,0.125,0.9054054054054054,0.013718811856299898,0.25,0.8688524590163934
58,238928,464,0.009742508056719796,0.125,0.864406779661017,,,
59,241752,472,0.014468003875490387,0.125,0.875,,,
60,245856,480,0.010774490751413096,0.25,0.875,,,
61,251432,488,0.008405115212956633,0.25,0.9036144578313253,,,
62,254448,496,0.015477211879277074,0.0,0.8783783783783784,,,
63,261112,504,0.00715335450454215,0.25,0.9090909090909091,,,
64,264960,512,0.009410636922260388,0.625,0.9518072289156626,,,
65,269320,520,0.011651311767739658,0.125,0.819672131147541,0.007856582943052819,0.5,0.9294117647058824
66,273936,528,0.010044609022690795,0.375,0.8909090909090909,,,
67,280920,536,0.008025717039146498,0.25,0.8970588235294118,,,
68,285280,544,0.00916367452561931,0.125,0.8873239436619719,,,
69,289576,552,0.01169529796776175,0.125,0.8676470588235294,,,
70,292080,560,0.013923933099523089,0.125,0.9066666666666666,,,
71,301496,568,0.005366176830756165,0.25,0.881578947368421,,,
72,305088,576,0.012964305669944085,0.125,0.8620689655172413,,,
73,311752,584,0.006573443037857798,0.25,0.9041095890410958,0.008793396144044641,0.375,0.9047619047619048
74,314768,592,0.011625319794515277,0.375,0.9130434782608695,,,
75,317656,600,0.013952150886375235,0.25,0.922077922077922,,,
76,319456,608,0.01620103375730348,0.5,0.927536231884058,,,
77,324520,616,0.00902367105421729,0.625,0.9466666666666667,,,
78,330864,624,0.008191142467867906,0.375,0.9066666666666666,,,
79,333432,632,0.009987972097523733,0.5,0.9206349206349206,,,
80,336000,640,0.012203121253552556,0.25,0.9041095890410958,,,
81,339080,648,0.010126765240905819,0.5,0.9285714285714286,0.01333226749945158,1.0,1.0
