step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy
1,265,1,0.14495410337949743,0.0,0.2222222222222222,0.11117743157508239,0.0,0.6666666666666666
2,530,2,0.07540849335430154,0.0,0.5714285714285714,,,
3,1115,3,0.0999511711037112,0.0,0.14285714285714285,,,
4,1660,4,0.05827243747267743,0.0,0.6666666666666666,,,
5,1957,5,0.09546562406275526,0.0,0.6666666666666666,,,
6,2270,6,0.05100404085550765,0.0,0.7142857142857143,,,
7,2567,7,0.13379558623017473,0.0,0.35714285714285715,,,
8,2888,8,0.11562224236407098,0.0,0.2857142857142857,,,
9,3393,9,0.03534742267501271,0.0,0.6666666666666666,0.13545151693024673,0.0,0.5555555555555556
10,3826,10,0.028058544294607836,0.0,0.7142857142857143,,,
11,4139,11,0.08132384584688683,0.0,0.5714285714285714,,,
12,4724,12,0.04046250847324872,0.0,0.7142857142857143,,,
13,5061,13,0.04091190455031102,0.0,0.5714285714285714,,,
14,5454,14,0.039496933505682376,0.0,0.7777777777777778,,,
15,5695,15,0.04472423837036027,0.0,0.8888888888888888,,,
16,5800,16,0.05889833193040642,0.0,0.8571428571428571,,,
17,6081,17,0.030436484774231522,0.0,0.8571428571428571,0.03845310189265032,0.0,0.7777777777777778
18,6338,18,0.025984241735282014,1.0,1.0,,,
19,6923,19,0.020309232941886805,1.0,1.0,,,
20,7228,20,0.049200577383270445,0.0,0.7142857142857143,,,
21,7581,21,0.035046501467793104,0.0,0.9285714285714286,,,
22,7966,22,0.022684216765124478,1.0,1.0,,,
23,8231,23,0.05883307315347519,0.0,0.7777777777777778,,,
24,8552,24,0.02483862433049801,0.0,0.7777777777777778,,,
25,8785,25,0.018565935780258676,1.0,1.0,0.03489490755457628,0.0,0.8571428571428571
26,8914,26,0.1625586908371929,0.0,0.3333333333333333,,,
27,9251,27,0.024555758396322094,0.0,0.8888888888888888,,,
28,9572,28,0.025284687321658113,1.0,1.0,,,
29,9845,29,0.02511431657310415,1.0,1.0,,,
30,10214,30,0.03265047005742811,0.0,0.9285714285714286,,,
31,10351,31,0.07658616142255702,0.0,0.7777777777777778,,,
32,10896,32,0.020151108101944478,0.0,0.8571428571428571,,,
33,11145,33,0.031597539275954635,0.0,0.8888888888888888,0.12800134165091714,0.0,0.46153846153846156
34,11434,34,0.1663907520371726,0.0,0.3157894736842105,,,
35,11947,35,0.06931014958830133,0.0,0.46153846153846156,,,
36,12108,36,0.03332181705192307,0.0,0.8888888888888888,,,
37,12485,37,0.023715710450752013,0.0,0.8571428571428571,,,
38,12838,38,0.028939157739065524,0.0,0.8571428571428571,,,
39,13215,39,0.02597362240956151,0.0,0.8571428571428571,,,
40,13336,40,0.036179222264589035,0.0,0.8888888888888888,,,
41,13593,41,0.027725966721302488,0.0,0.8571428571428571,0.0329360451111881,0.0,0.9285714285714286
42,14026,42,0.0195216272975727,1.0,1.0,,,
43,14299,43,0.03827903310466853,0.0,0.8888888888888888,,,
44,14676,44,0.03569481332863485,0.0,0.9285714285714286,,,
45,14853,45,0.023743926397576366,1.0,1.0,,,
46,15422,46,0.0182085001070009,0.0,0.8888888888888888,,,
47,15807,47,0.018810800848806174,1.0,1.0,,,
48,16024,48,0.023512519295144453,1.0,1.0,,,
49,16345,49,0.01661423647088145,1.0,1.0,0.01930368474732509,1.0,1.0
50,16610,50,0.04079355890972508,0.0,0.8571428571428571,,,
51,16859,51,0.09776195181301683,0.0,0.631578947368421,,,
52,17284,52,0.014836535519680357,1.0,1.0,,,
53,17669,53,0.02242303534606719,0.0,0.8571428571428571,,,
54,18006,54,0.017456055699535355,1.0,1.0,,,
55,18271,55,0.03113812752896455,0.0,0.9285714285714286,,,
56,18760,56,0.019349518386186933,0.0,0.8571428571428571,,,
57,18993,57,0.0861828890127197,0.0,0.7692307692307693,0.11363739012603594,0.0,0.8421052631578947
58,19202,58,0.02075736079335177,1.0,1.0,,,
59,19523,59,0.025670886144962598,0.0,0.8888888888888888,,,
60,19668,60,0.0263420402195647,1.0,1.0,,,
61,19749,61,0.05543124774521857,0.0,0.8571428571428571,,,
62,20502,62,0.018336666464969956,0.0,0.8571428571428571,,,
63,20743,63,0.03506611185297667,0.0,0.8888888888888888,,,
64,20936,64,0.023209180257489755,0.0,0.8571428571428571,,,
65,21161,65,0.02738290132114376,0.0,0.8888888888888888,0.04982468401303838,0.0,0.7777777777777778
66,21530,66,0.044563457377549916,0.0,0.7692307692307693,,,
67,21763,67,0.01814328518908136,1.0,1.0,,,
68,22148,68,0.015576325832085892,1.0,1.0,,,
69,22469,69,0.030355215373365114,0.0,0.6666666666666666,,,
70,22894,70,0.022993418956422058,0.0,0.8571428571428571,,,
71,23567,71,0.01582796088708829,1.0,1.0,,,
72,23696,72,0.044754611681815964,0.0,0.7777777777777778,,,
73,23905,73,0.018748749628379992,1.0,1.0,0.023628323655886904,0.0,0.7777777777777778
74,24034,74,0.03982308136857398,0.0,0.7777777777777778,,,
75,24275,75,0.04032583070876565,0.0,0.8571428571428571,,,
76,24492,76,0.022518202751469086,1.0,1.0,,,
77,24973,77,0.018944691837782104,1.0,1.0,,,
78,25230,78,0.020879912674811298,0.0,0.8571428571428571,,,
79,25615,79,0.019040648653746453,1.0,1.0,,,
80,25848,80,0.03985826607296758,0.0,0.8888888888888888,,,
81,26137,81,0.017041159865332153,1.0,1.0,0.0287768021550293,0.0,0.9285714285714286
82,26490,82,0.02106904320923957,0.0,0.8571428571428571,,,
83,26763,83,0.025340298885147976,0.0,0.8888888888888888,,,
84,27076,84,0.016317566867185555,1.0,1.0,,,
85,27421,85,0.01971867423490705,0.0,0.8888888888888888,,,
86,28638,86,0.015895303483136634,0.0,0.8571428571428571,,,
87,28807,87,0.03381951492262358,0.0,0.8571428571428571,,,
88,29064,88,0.027714034786638427,0.0,0.8888888888888888,,,
89,29425,89,0.0217084931675175,0.0,0.8888888888888888,0.02218687360774901,0.0,0.8888888888888888
90,29594,90,0.028179583715599227,0.0,0.8571428571428571,,,
91,29723,91,0.02473817492919352,1.0,1.0,,,
92,29956,92,0.0692847999378124,0.0,0.7894736842105263,,,
93,30189,93,0.020017629837501428,1.0,1.0,,,
94,30670,94,0.019701964284582422,0.0,0.8888888888888888,,,
95,30879,95,0.0189231500031222,1.0,1.0,,,
96,31096,96,0.03496342858219143,0.0,0.8888888888888888,,,
97,31457,97,0.020096069331443384,0.0,0.8571428571428571,0.024169769414506836,0.0,0.9285714285714286
98,31666,98,0.035038597799495724,0.0,0.9285714285714286,,,
99,32035,99,0.019001158480066647,1.0,1.0,,,
100,32180,100,0.05629106174537051,0.0,0.8947368421052632,,,
101,32493,101,0.022946248819817775,0.0,0.9285714285714286,,,
102,32678,102,0.01703163114494383,1.0,1.0,,,
103,32927,103,0.021712541271796226,1.0,1.0,,,
104,33272,104,0.0212335368350534,0.0,0.8571428571428571,,,
105,33505,105,0.023617939697230726,0.0,0.8888888888888888,0.01904160912366848,1.0,1.0
106,33642,106,0.030563496312142353,0.0,0.8571428571428571,,,
107,33859,107,0.023559575120328833,0.0,0.8571428571428571,,,
108,34124,108,0.018259980115139338,1.0,1.0,,,
109,34421,109,0.020407397689760767,0.0,0.8571428571428571,,,
110,34934,110,0.030019182750894366,0.0,0.9230769230769231,,,
111,35039,111,0.048336913246957054,0.0,0.8888888888888888,,,
112,35216,112,0.02987453701257491,0.0,0.9473684210526315,,,
113,35441,113,0.02364678163160046,1.0,1.0,0.030214227360362063,0.0,0.8461538461538461
114,35762,114,0.019506832059168006,0.0,0.8888888888888888,,,
115,36123,115,0.021092107173871534,0.0,0.8571428571428571,,,
116,36412,116,0.0247419391315744,1.0,1.0,,,
117,36781,117,0.020632889368122586,0.0,0.9285714285714286,,,
118,37102,118,0.01817779295476953,0.0,0.8571428571428571,,,
119,37815,119,0.01840247895227852,0.0,0.8888888888888888,,,
120,38128,120,0.02801145620996784,0.0,0.7777777777777778,,,
121,38241,121,0.025076363497903778,0.0,0.8571428571428571,0.018546446316995913,1.0,1.0
122,38690,122,0.0184352171170766,0.0,0.8888888888888888,,,
123,38963,123,0.01698736951957926,1.0,1.0,,,
124,39636,124,0.017810981659798233,1.0,1.0,,,
125,40101,125,0.01558251792463642,1.0,1.0,,,
126,40542,126,0.015125826151888903,1.0,1.0,,,
127,40863,127,0.01805906148287867,1.0,1.0,,,
128,41120,128,0.02039915980149999,0.0,0.8571428571428571,,,
129,41345,129,0.021368277769541033,0.0,0.8571428571428571,0.022045068568243217,0.0,0.8888888888888888
130,41554,130,0.020460534023566897,0.0,0.8571428571428571,,,
131,41827,131,0.01563824840833176,0.0,0.8571428571428571,,,
132,42076,132,0.018075566685645812,1.0,1.0,,,
133,42461,133,0.039343324592036544,0.0,0.8461538461538461,,,
134,42622,134,0.02867969017515401,0.0,0.9473684210526315,,,
135,42863,135,0.018825652468147536,0.0,0.9285714285714286,,,
136,43064,136,0.017850591266865085,0.0,0.8888888888888888,,,
137,43409,137,0.016292684438134065,0.0,0.8571428571428571,0.01649449318686584,1.0,1.0
138,43794,138,0.01637760574596977,1.0,1.0,,,
139,44099,139,0.01754329268228111,1.0,1.0,,,
140,44612,140,0.016947168290763787,0.0,0.8571428571428571,,,
141,44813,141,0.020862946579737765,1.0,1.0,,,
142,45190,142,0.015527504982647804,1.0,1.0,,,
143,45431,143,0.027555752174506624,0.0,0.9285714285714286,,,
144,45824,144,0.016691908856924058,1.0,1.0,,,
145,46049,145,0.02696440338252013,0.0,0.8888888888888888,0.024869817074007518,0.0,0.9473684210526315
146,46378,146,0.01761900134273893,0.0,0.8571428571428571,,,
147,46483,147,0.023484187378445105,0.0,0.8571428571428571,,,
148,46900,148,0.014007254997124479,1.0,1.0,,,
149,47221,149,0.016088837561943254,1.0,1.0,,,
150,47662,150,0.017283118914838847,1.0,1.0,,,
151,47895,151,0.015276955564531033,1.0,1.0,,,
152,48080,152,0.02159355989995121,0.0,0.8571428571428571,,,
153,48345,153,0.01604283390929168,1.0,1.0,0.031236818424918846,0.0,0.9230769230769231
154,48498,154,0.051678572970348266,0.0,0.8461538461538461,,,
155,48907,155,0.015480017543791495,0.0,0.8571428571428571,,,
156,49268,156,0.016516874258702754,0.0,0.8571428571428571,,,
157,49413,157,0.017395320393903704,1.0,1.0,,,
158,49502,158,0.018523282618764167,1.0,1.0,,,
159,49703,159,0.03616237872111014,0.0,0.7777777777777778,,,
160,50232,160,0.013648924958277171,0.0,0.9285714285714286,,,
161,50449,161,0.015889869558657104,1.0,1.0,0.027562217023700264,0.0,0.7777777777777778
162,50986,162,0.024516450054622815,0.0,0.7777777777777778,,,
163,51459,163,0.02043995245464472,0.0,0.9473684210526315,,,
164,51684,164,0.01478258414454769,1.0,1.0,,,
165,51941,165,0.021351466709180186,0.0,0.9230769230769231,,,
166,52350,166,0.015682529788510317,1.0,1.0,,,
167,52847,167,0.015540515317691388,1.0,1.0,,,
168,53144,168,0.013931006600534257,1.0,1.0,,,
169,53305,169,0.01331908790668763,1.0,1.0,0.025921550821886737,0.0,0.7777777777777778
170,53602,170,0.023292647744783086,0.0,0.7777777777777778,,,
171,53819,171,0.039522980381183584,0.0,0.7777777777777778,,,
172,53924,172,0.012812410116641788,1.0,1.0,,,
173,54253,173,0.014349512406303647,1.0,1.0,,,
174,54438,174,0.01774781066111255,1.0,1.0,,,
175,54607,175,0.02860576693566361,0.0,0.9230769230769231,,,
176,54768,176,0.015931542787523772,1.0,1.0,,,
177,55377,177,0.011755258320769799,1.0,1.0,0.013267726672313102,1.0,1.0
178,55586,178,0.019229462473460027,1.0,1.0,,,
179,55859,179,0.014077554969422932,1.0,1.0,,,
180,56292,180,0.020857831943006378,0.0,0.9285714285714286,,,
181,56669,181,0.02251965648503127,0.0,0.9285714285714286,,,
182,56854,182,0.012892164835642116,1.0,1.0,,,
183,57191,183,0.025198035873067636,0.0,0.8888888888888888,,,
184,57504,184,0.03170508664643459,0.0,0.8571428571428571,,,
185,57897,185,0.02903967927385921,0.0,0.8571428571428571,0.02953962287899883,0.0,0.8571428571428571
186,58250,186,0.024910683897141638,0.0,0.9473684210526315,,,
187,58387,187,0.02212450338104859,0.0,0.8888888888888888,,,
188,58860,188,0.020602989685863323,0.0,0.9230769230769231,,,
189,59149,189,0.01672171767676686,1.0,1.0,,,
190,59414,190,0.02145602239966248,0.0,0.8571428571428571,,,
191,59767,191,0.018371098937271364,0.0,0.9285714285714286,,,
192,60152,192,0.016551065413862625,0.0,0.8571428571428571,,,
193,60289,193,0.03213385055586999,0.0,0.8947368421052632,0.0178644668541318,0.0,0.8571428571428571
194,60738,194,0.022672223230999634,0.0,0.9230769230769231,,,
195,61123,195,0.017398814036279287,1.0,1.0,,,
196,61252,196,0.04188662074088939,0.0,0.8888888888888888,,,
197,61501,197,0.022926302721373117,0.0,0.8888888888888888,,,
198,61854,198,0.01606083973853143,0.0,0.9285714285714286,,,
199,62327,199,0.016531901433684115,0.0,0.8571428571428571,,,
200,62536,200,0.01852694325665215,1.0,1.0,,,
201,63289,201,0.016368060930271024,0.0,0.9285714285714286,0.01393031799640064,0.0,0.8571428571428571
202,63506,202,0.01789244448761177,0.0,0.8571428571428571,,,
203,63755,203,0.024244317188063327,0.0,0.9230769230769231,,,
204,64292,204,0.01925907858486715,0.0,0.9230769230769231,,,
205,64501,205,0.02429743329488303,0.0,0.9473684210526315,,,
206,64742,206,0.019090866665122573,0.0,0.8571428571428571,,,
